Barangay,House Type,Lot Area (sqm),Floor Area (sqm),Number of Floors,Bedroom,Bathroom,Garage,Year Built,Price (PHP),Price Growth Rate,Market Price,Market Price Growth Rate
San Luis,Single-Family Home,348,80,3,6,3,3,2021,9684773.52,4.3,29054320.56,200.00%
Mambugan,Single-Family Home,219,195,3,3,1,2,2020,8187677.88,2.28,24563033.64,200.00%
Cupang,Duplex,259,97,3,3,3,0,2013,6301554.17,5.43,18904662.51,200.00%
San Isidro (Poblacion),Bungalow,258,171,1,2,1,2,2015,3429449.33,3.76,10288347.99,200.00%
Mambugan,Townhouse,368,244,3,6,3,3,2021,2286689.35,2.62,6860068.05,200.00%
Santa Cruz,Single-Family Home,321,243,3,3,4,2,2014,9304851.63,5.09,27914554.89,200.00%
Cupang,Townhouse,249,83,3,6,1,3,2016,3610222.51,5.91,10830667.53,200.00%
San Jose (Poblacion),Duplex,323,198,1,6,1,3,2015,7003172.53,3.63,21009517.59,200.00%
San Luis,Single-Family Home,209,266,1,2,3,3,2019,5684901.81,2.35,17054705.43,200.00%
San Jose (Poblacion),Townhouse,394,190,3,4,2,2,2017,5256954.05,4.79,15770862.15,200.00%
Bagong Nayon,Single-Family Home,238,90,2,6,2,0,2019,4947772.3,4.28,14843316.9,200.00%
Inarawan,Duplex,156,178,3,5,4,2,2014,4292764.02,5.56,12878292.06,200.00%
Mambugan,Single-Family Home,152,227,1,2,2,0,2015,3630660.19,2.26,10891980.57,200.00%
Beverly Hills,Townhouse,205,190,3,6,3,1,2017,6382343.87,4.53,19147031.61,200.00%
Dalig,Duplex,329,176,2,3,2,2,2020,2706127.63,3.15,8118382.89,200.00%
San Roque (Poblacion),Single-Family Home,154,170,2,6,1,1,2019,4096199.21,4.52,12288597.63,200.00%
Inarawan,Townhouse,354,252,2,5,3,0,2019,8543505.9,4.46,25630517.7,200.00%
Dalig,Bungalow,344,94,1,5,4,0,2013,5850354.18,4.08,17551062.54,200.00%
Dela Paz (Poblacion),Single-Family Home,212,127,3,3,2,3,2021,7341970.7,3.85,22025912.1,200.00%
Calawis,Single-Family Home,258,87,1,3,3,1,2017,9640930.28,5.39,28922790.84,200.00%
San Jose (Poblacion),Bungalow,381,169,1,2,1,3,2019,2344285.02,5.58,7032855.06,200.00%
Calawis,Single-Family Home,299,175,2,5,3,1,2014,6751265.98,3,20253797.94,200.00%
Beverly Hills,Townhouse,327,203,3,4,4,0,2017,7849737.94,2.78,23549213.82,200.00%
Mayamot,Bungalow,156,244,1,2,3,3,2013,9898522.75,3,29695568.25,200.00%
Mayamot,Bungalow,291,89,1,3,2,0,2018,8375792.32,2.89,25127376.96,200.00%
Dela Paz (Poblacion),Single-Family Home,160,107,3,5,4,1,2020,8958504.22,3.38,26875512.66,200.00%
San Juan,Bungalow,248,269,1,5,4,0,2019,6925717.9,4.26,20777153.7,200.00%
San Roque (Poblacion),Single-Family Home,334,237,1,2,1,2,2018,7258414.13,4.91,21775242.39,200.00%
San Juan,Single-Family Home,292,257,3,4,3,3,2014,2579622.43,2.27,7738867.29,200.00%
San Juan,Bungalow,366,88,1,2,4,3,2013,2744077.17,3.42,8232231.51,200.00%
Dela Paz (Poblacion),Bungalow,275,220,1,5,1,3,2014,8385464.42,5.86,25156393.26,200.00%
Cupang,Bungalow,184,163,1,6,4,1,2013,2804917.9,4.34,8414753.7,200.00%
Calawis,Single-Family Home,375,197,3,5,4,1,2022,2922511.17,4.59,8767533.51,200.00%
Inarawan,Single-Family Home,171,150,1,4,2,0,2014,8777588.3,3.98,26332764.9,200.00%
San Juan,Single-Family Home,190,129,2,6,1,0,2017,7808392.37,5.38,23425177.11,200.00%
Dela Paz (Poblacion),Townhouse,280,145,1,5,2,1,2015,9284388.3,2.67,27853164.9,200.00%
Beverly Hills,Bungalow,168,170,1,5,2,0,2016,2844078.21,4.94,8532234.63,200.00%
Beverly Hills,Townhouse,325,214,3,4,2,3,2014,4126879.02,2.9,12380637.06,200.00%
San Juan,Duplex,246,130,1,6,3,3,2019,7354535.69,3.53,22063607.07,200.00%
Cupang,Bungalow,161,199,1,6,1,3,2016,8650444.19,2.56,25951332.57,200.00%
Bagong Nayon,Bungalow,170,217,1,4,1,0,2019,3158697.55,4.56,9476092.65,200.00%
Beverly Hills,Single-Family Home,277,160,1,4,1,0,2021,5180188.64,5.12,15540565.92,200.00%
Inarawan,Bungalow,389,263,1,4,1,0,2014,6762659.94,2.63,20287979.82,200.00%
Cupang,Bungalow,157,250,1,5,2,1,2013,6822286.31,2.74,20466858.93,200.00%
Inarawan,Townhouse,180,89,1,4,3,1,2018,4353819.16,2.22,13061457.48,200.00%
San Jose (Poblacion),Bungalow,288,134,1,3,4,1,2022,3200550.03,3.78,9601650.09,200.00%
Dalig,Single-Family Home,189,177,3,6,4,1,2018,5135085.02,3.07,15405255.06,200.00%
Bagong Nayon,Single-Family Home,343,106,2,3,3,1,2014,2298178.43,2.85,6894535.29,200.00%
Dela Paz (Poblacion),Townhouse,354,271,3,4,2,1,2020,3586731.73,2.01,10760195.19,200.00%
Dela Paz (Poblacion),Bungalow,201,104,1,3,1,0,2021,4098587.94,4.03,12295763.82,200.00%
San Juan,Single-Family Home,229,219,1,3,1,3,2015,8103932.37,3.61,24311797.11,200.00%
Santa Cruz,Single-Family Home,163,198,1,2,2,1,2021,5686431.52,5.66,17059294.56,200.00%
San Jose (Poblacion),Duplex,349,270,2,2,1,2,2021,4961414.12,5.56,14884242.36,200.00%
Dalig,Townhouse,361,254,2,3,3,1,2019,6909175.31,2.22,20727525.93,200.00%
Dalig,Duplex,206,117,3,2,4,1,2014,2997740.33,3.76,8993220.99,200.00%
Muntindilaw,Duplex,267,100,1,5,1,1,2018,5277969.41,2.59,15833908.23,200.00%
San Roque (Poblacion),Bungalow,192,120,1,4,1,2,2018,2934322.55,2.78,8802967.65,200.00%
Dela Paz (Poblacion),Duplex,280,234,3,5,3,1,2018,3415867.52,5.95,10247602.56,200.00%
San Juan,Bungalow,364,195,1,4,4,0,2014,9799721.68,2.68,29399165.04,200.00%
Dalig,Townhouse,172,156,1,5,1,3,2022,4219317.66,5.75,12657952.98,200.00%
San Jose (Poblacion),Duplex,171,265,3,5,2,1,2016,4731640.21,5.5,14194920.63,200.00%
Bagong Nayon,Single-Family Home,390,241,1,3,2,0,2016,8190585.32,4.38,24571755.96,200.00%
San Isidro (Poblacion),Duplex,264,230,2,6,4,1,2018,7057307.31,5.49,21171921.93,200.00%
Bagong Nayon,Townhouse,381,260,3,2,2,3,2022,9281426,5.31,27844278,200.00%
San Isidro (Poblacion),Bungalow,304,119,1,3,3,3,2013,2417954.49,2.91,7253863.47,200.00%
Muntindilaw,Single-Family Home,376,116,3,6,3,3,2018,5608264.8,2.4,16824794.4,200.00%
Cupang,Duplex,218,186,1,6,4,0,2020,6979198.88,2.09,20937596.64,200.00%
Cupang,Duplex,388,265,3,3,1,0,2013,4928377.2,2.23,14785131.6,200.00%
Bagong Nayon,Townhouse,266,278,2,4,2,0,2015,3779558.74,5.41,11338676.22,200.00%
Beverly Hills,Townhouse,383,262,1,2,2,1,2020,7624211.12,4.2,22872633.36,200.00%
Santa Cruz,Single-Family Home,271,273,1,2,3,1,2013,5311695.73,3.44,15935087.19,200.00%
Calawis,Townhouse,200,166,1,5,4,0,2021,9533672.78,3.56,28601018.34,200.00%
Dalig,Townhouse,222,183,2,5,3,3,2014,2984020.17,3.06,8952060.51,200.00%
Inarawan,Single-Family Home,252,205,3,6,2,1,2017,8160576.98,2.82,24481730.94,200.00%
Dalig,Single-Family Home,240,272,2,5,2,0,2020,5395099.8,2.5,16185299.4,200.00%
Santa Cruz,Townhouse,161,127,2,3,4,2,2017,3390694.26,5.49,10172082.78,200.00%
Mambugan,Duplex,191,230,1,3,4,1,2022,3481127.37,5.16,10443382.11,200.00%
Cupang,Single-Family Home,290,172,3,4,3,2,2013,6054251.35,2.03,18162754.05,200.00%
San Jose (Poblacion),Bungalow,207,109,1,4,4,2,2018,9794061.38,3.72,29382184.14,200.00%
Calawis,Bungalow,363,117,1,5,1,1,2018,4480668.93,5.73,13442006.79,200.00%
San Luis,Bungalow,253,189,1,4,1,0,2020,7231976.78,5.39,21695930.34,200.00%
San Jose (Poblacion),Duplex,346,269,1,5,4,3,2018,9146105.17,3.6,27438315.51,200.00%
Mambugan,Townhouse,389,174,3,3,4,3,2021,2452607.25,3.18,7357821.75,200.00%
Calawis,Bungalow,279,105,1,4,1,3,2019,2508360.27,4.59,7525080.81,200.00%
Inarawan,Duplex,247,235,2,6,2,2,2022,3050474.82,3.75,9151424.46,200.00%
Santa Cruz,Townhouse,268,277,3,3,4,0,2017,8279571.67,5.53,24838715.01,200.00%
Bagong Nayon,Townhouse,364,262,1,5,4,2,2014,5985818.78,3.53,17957456.34,200.00%
San Roque (Poblacion),Single-Family Home,328,233,2,4,3,1,2013,6926880.16,2.6,20780640.48,200.00%
San Roque (Poblacion),Duplex,273,237,1,6,1,0,2014,7851731.17,3.55,23555193.51,200.00%
San Roque (Poblacion),Single-Family Home,364,117,1,3,2,3,2022,5529961.68,3.67,16589885.04,200.00%
Bagong Nayon,Townhouse,369,253,1,4,4,1,2018,6263798.18,5.55,18791394.54,200.00%
San Isidro (Poblacion),Duplex,212,145,2,6,4,3,2015,5278626.99,5.8,15835880.97,200.00%
San Isidro (Poblacion),Single-Family Home,311,214,2,3,2,0,2016,8109398.11,5.82,24328194.33,200.00%
Dalig,Bungalow,372,280,1,5,2,0,2018,9747119.22,4.84,29241357.66,200.00%
Cupang,Townhouse,363,134,3,3,3,3,2018,3347902.28,5.34,10043706.84,200.00%
San Juan,Single-Family Home,225,212,1,4,2,1,2022,3435159.86,5.86,10305479.58,200.00%
Dalig,Duplex,300,118,2,3,3,2,2016,2780527.89,3.25,8341583.67,200.00%
San Luis,Duplex,298,195,1,2,4,1,2017,6288866.8,5.75,18866600.4,200.00%
Mayamot,Single-Family Home,254,195,3,6,1,0,2020,2353654.67,3.23,7060964.01,200.00%
Dalig,Single-Family Home,265,149,1,5,2,0,2013,6572872.24,2.78,19718616.72,200.00%
Calawis,Bungalow,284,198,1,6,2,3,2021,5750224.88,2.5,17250674.64,200.00%
Dalig,Bungalow,387,234,1,4,1,2,2019,3195944.63,4.43,9587833.89,200.00%
Inarawan,Bungalow,375,216,1,5,3,1,2015,8372569.36,4.91,25117708.08,200.00%
Dela Paz (Poblacion),Bungalow,341,166,1,5,1,2,2018,8016292.64,5.59,24048877.92,200.00%
San Jose (Poblacion),Duplex,189,101,1,5,2,1,2015,3745129.71,4.47,11235389.13,200.00%
Cupang,Bungalow,348,137,1,4,1,2,2016,7930538.49,4.18,23791615.47,200.00%
San Roque (Poblacion),Townhouse,361,89,3,4,2,2,2019,5480099.68,3.55,16440299.04,200.00%
Bagong Nayon,Bungalow,335,93,1,5,2,3,2016,4861626.42,5.44,14584879.26,200.00%
Inarawan,Bungalow,229,164,1,6,4,1,2016,4342347.7,5.39,13027043.1,200.00%
Muntindilaw,Townhouse,299,163,2,3,4,1,2016,7241811.74,4.36,21725435.22,200.00%
San Luis,Bungalow,259,124,1,2,1,2,2013,4843720.11,5.06,14531160.33,200.00%
Dalig,Townhouse,220,252,3,5,3,3,2019,5912887.54,5.25,17738662.62,200.00%
San Luis,Single-Family Home,320,244,2,3,4,0,2013,9087167.12,5.46,27261501.36,200.00%
San Roque (Poblacion),Townhouse,258,259,2,2,4,3,2013,7296230.82,2.08,21888692.46,200.00%
Calawis,Townhouse,312,95,1,2,3,1,2020,4531052.19,2.9,13593156.57,200.00%
Bagong Nayon,Single-Family Home,357,161,3,2,4,3,2014,7857804.95,3.41,23573414.85,200.00%
Mambugan,Townhouse,202,97,3,3,4,1,2013,5038774.83,2.43,15116324.49,200.00%
San Jose (Poblacion),Bungalow,313,231,1,3,3,3,2019,6092372.53,3.77,18277117.59,200.00%
San Isidro (Poblacion),Bungalow,207,189,1,2,2,3,2017,2089233.1,3.36,6267699.3,200.00%
Inarawan,Duplex,253,260,2,4,2,2,2018,2376101.3,2.57,7128303.9,200.00%
Dela Paz (Poblacion),Townhouse,232,143,2,6,2,1,2015,5807022.72,5.82,17421068.16,200.00%
Muntindilaw,Single-Family Home,386,131,1,2,1,3,2013,6891380.54,4.07,20674141.62,200.00%
Santa Cruz,Duplex,212,172,2,2,1,3,2016,9438391.06,3.86,28315173.18,200.00%
San Jose (Poblacion),Duplex,371,219,2,6,3,1,2019,2200017.92,3.9,6600053.76,200.00%
San Roque (Poblacion),Townhouse,389,195,1,5,2,0,2020,7054835.15,3.91,21164505.45,200.00%
San Roque (Poblacion),Single-Family Home,354,189,1,6,2,3,2020,5056489.57,5.16,15169468.71,200.00%
Mambugan,Duplex,278,280,1,4,4,2,2019,8835232.89,2.54,26505698.67,200.00%
Bagong Nayon,Duplex,261,170,3,6,4,3,2014,5619034.13,3.2,16857102.39,200.00%
Dela Paz (Poblacion),Townhouse,155,108,1,3,1,2,2015,2586585.41,2.24,7759756.23,200.00%
Beverly Hills,Bungalow,366,147,1,2,3,0,2018,7582186.55,2.61,22746559.65,200.00%
Muntindilaw,Single-Family Home,281,257,2,5,1,0,2016,5227245.39,2.32,15681736.17,200.00%
Dalig,Duplex,195,184,3,4,4,0,2017,4680685.82,3.28,14042057.46,200.00%
San Roque (Poblacion),Bungalow,235,214,1,3,4,2,2020,7149876.41,3.12,21449629.23,200.00%
Bagong Nayon,Bungalow,357,167,1,4,3,2,2016,4211828.16,5.66,12635484.48,200.00%
San Juan,Duplex,200,102,1,3,4,3,2022,3962875.1,3.51,11888625.3,200.00%
San Luis,Single-Family Home,335,210,1,6,2,1,2017,3657771.02,5.52,10973313.06,200.00%
Muntindilaw,Townhouse,188,167,2,4,2,3,2020,6167099.23,5.77,18501297.69,200.00%
Dela Paz (Poblacion),Bungalow,376,108,1,4,3,2,2021,5701205.63,4.12,17103616.89,200.00%
San Luis,Bungalow,282,92,1,4,1,1,2015,2974874.47,3.85,8924623.41,200.00%
Mambugan,Single-Family Home,283,80,2,5,4,1,2019,9904618.27,5.6,29713854.81,200.00%
Inarawan,Single-Family Home,369,161,2,6,4,3,2022,7974040.55,3.27,23922121.65,200.00%
Mambugan,Townhouse,150,229,1,3,1,0,2021,2992635.94,2.24,8977907.82,200.00%
Bagong Nayon,Duplex,287,146,2,5,1,2,2018,5273123.45,5.73,15819370.35,200.00%
Dela Paz (Poblacion),Duplex,303,242,1,5,4,3,2019,2502717.5,5.82,7508152.5,200.00%
Santa Cruz,Townhouse,358,84,2,2,4,3,2019,6876263.6,2.42,20628790.8,200.00%
San Luis,Bungalow,194,227,1,2,4,2,2016,9657125.13,4.5,28971375.39,200.00%
San Roque (Poblacion),Single-Family Home,169,122,2,3,1,1,2016,5843413.88,2.18,17530241.64,200.00%
Santa Cruz,Single-Family Home,374,144,2,6,2,1,2017,9397922.18,4.07,28193766.54,200.00%
San Juan,Duplex,205,265,2,5,3,0,2021,3480968.05,4.52,10442904.15,200.00%
Bagong Nayon,Townhouse,332,210,1,3,2,1,2016,6250479.86,2.76,18751439.58,200.00%
Bagong Nayon,Bungalow,366,113,1,2,2,1,2021,3866705.04,3.86,11600115.12,200.00%
Dalig,Single-Family Home,301,224,2,3,1,2,2014,6706516.35,2.01,20119549.05,200.00%
Santa Cruz,Bungalow,297,202,1,3,1,1,2018,4152786.89,4.11,12458360.67,200.00%
Mambugan,Single-Family Home,223,135,2,3,4,3,2016,8371635.81,2.52,25114907.43,200.00%
Calawis,Townhouse,183,166,3,6,4,1,2014,9452267.36,2.37,28356802.08,200.00%
Bagong Nayon,Duplex,386,81,3,4,2,0,2016,9682402.33,5.4,29047206.99,200.00%
Dalig,Duplex,214,234,2,4,1,1,2018,3011072.11,3.02,9033216.33,200.00%
San Jose (Poblacion),Bungalow,338,234,1,4,1,1,2016,8747222.03,4.33,26241666.09,200.00%
Inarawan,Single-Family Home,205,218,2,3,1,0,2021,2093635.85,2.11,6280907.55,200.00%
Beverly Hills,Bungalow,180,110,1,2,4,1,2013,6894751.94,3.5,20684255.82,200.00%
Inarawan,Townhouse,281,155,2,3,2,1,2014,6266725.47,3.71,18800176.41,200.00%
Bagong Nayon,Bungalow,372,215,1,4,2,1,2013,2204357.3,5.9,6613071.9,200.00%
Beverly Hills,Duplex,308,138,3,5,3,2,2018,7924960.78,3.37,23774882.34,200.00%
San Jose (Poblacion),Bungalow,322,212,1,6,4,1,2020,5150086.05,2.33,15450258.15,200.00%
Santa Cruz,Townhouse,250,251,2,5,1,3,2022,2422058.62,3.77,7266175.86,200.00%
San Roque (Poblacion),Townhouse,257,201,3,5,4,1,2016,6878915.9,2.33,20636747.7,200.00%
San Isidro (Poblacion),Duplex,315,260,2,6,4,2,2022,4119390.9,5.75,12358172.7,200.00%
San Juan,Townhouse,389,261,3,4,1,3,2022,3494340.95,2.75,10483022.85,200.00%
San Juan,Bungalow,370,137,1,4,3,3,2022,4514642.93,5.23,13543928.79,200.00%
San Isidro (Poblacion),Townhouse,315,206,2,6,2,0,2015,4213278.6,3.72,12639835.8,200.00%
San Jose (Poblacion),Single-Family Home,318,112,3,4,4,2,2017,9549767.86,4.07,28649303.58,200.00%
Calawis,Duplex,243,195,3,5,1,0,2016,8061263.22,2.41,24183789.66,200.00%
Beverly Hills,Duplex,230,263,1,3,4,1,2017,9855074.04,2.09,29565222.12,200.00%
Muntindilaw,Bungalow,371,97,1,5,2,1,2018,6488200.64,2.03,19464601.92,200.00%
San Luis,Bungalow,191,242,1,2,3,0,2019,7970906.03,5.65,23912718.09,200.00%
San Roque (Poblacion),Bungalow,196,121,1,3,1,1,2014,7692270.7,2.51,23076812.1,200.00%
Inarawan,Bungalow,165,223,1,3,3,3,2020,3553859.06,5.48,10661577.18,200.00%
Mambugan,Bungalow,333,231,1,3,1,0,2018,8693265.09,3.74,26079795.27,200.00%
San Jose (Poblacion),Bungalow,274,222,1,4,3,1,2015,8976242.16,4.35,26928726.48,200.00%
Cupang,Duplex,226,121,2,2,1,0,2015,5138493.86,5.59,15415481.58,200.00%
San Jose (Poblacion),Duplex,389,177,1,3,2,1,2017,3072385.94,5.64,9217157.82,200.00%
San Roque (Poblacion),Single-Family Home,327,198,1,3,4,2,2018,6755889.38,3.29,20267668.14,200.00%
San Luis,Single-Family Home,189,163,2,6,1,0,2016,8188041.63,5.08,24564124.89,200.00%
San Juan,Single-Family Home,230,220,1,6,2,0,2022,5191537.27,5.64,15574611.81,200.00%
San Roque (Poblacion),Townhouse,354,161,1,3,1,0,2020,2882974.82,4.23,8648924.46,200.00%
San Juan,Single-Family Home,250,125,2,4,3,1,2021,9973762.67,3.21,29921288.01,200.00%
Cupang,Duplex,341,164,1,6,4,2,2021,8791448.07,3.01,26374344.21,200.00%
Dela Paz (Poblacion),Duplex,176,181,3,6,4,0,2018,6168678.91,4.18,18506036.73,200.00%
Cupang,Townhouse,322,213,3,5,1,0,2015,9003123.61,3.08,27009370.83,200.00%
San Juan,Duplex,338,131,2,6,2,2,2017,8598105.83,4.39,25794317.49,200.00%
Santa Cruz,Townhouse,265,266,1,4,1,3,2013,3395932.83,2.19,10187798.49,200.00%
San Luis,Bungalow,335,117,1,2,3,2,2014,2007457.39,4.72,6022372.17,200.00%
San Luis,Duplex,151,115,3,3,3,1,2022,6345047.13,5.19,19035141.39,200.00%
San Isidro (Poblacion),Townhouse,381,183,1,6,1,3,2016,9943441.4,2.68,29830324.2,200.00%
Dalig,Single-Family Home,331,270,1,4,4,2,2014,9013143.41,2.82,27039430.23,200.00%
San Isidro (Poblacion),Townhouse,331,228,1,3,2,1,2016,4663949.07,4.23,13991847.21,200.00%
Cupang,Bungalow,172,182,1,5,2,0,2018,4914033.35,2.33,14742100.05,200.00%
Dalig,Townhouse,303,140,2,6,4,3,2014,6983558.87,3.91,20950676.61,200.00%
Mambugan,Bungalow,345,196,1,4,2,2,2016,7812443.31,2.13,23437329.93,200.00%
Dela Paz (Poblacion),Duplex,340,162,2,3,2,3,2014,4131077.55,4,12393232.65,200.00%
Bagong Nayon,Bungalow,182,184,1,6,1,2,2018,2153229.8,2.04,6459689.4,200.00%
Dela Paz (Poblacion),Duplex,397,103,2,6,2,1,2016,9251790.07,4.15,27755370.21,200.00%
San Roque (Poblacion),Townhouse,290,197,2,3,1,0,2016,2378457.51,5.81,7135372.53,200.00%
Dela Paz (Poblacion),Single-Family Home,253,159,3,4,2,3,2019,4249519.89,5.92,12748559.67,200.00%
Dalig,Townhouse,300,228,3,2,3,2,2021,3560346.02,4.55,10681038.06,200.00%
San Jose (Poblacion),Single-Family Home,343,195,2,3,4,2,2013,3276389.72,2.57,9829169.16,200.00%
Muntindilaw,Bungalow,208,155,1,6,1,2,2019,7854550.06,2.58,23563650.18,200.00%
Dela Paz (Poblacion),Bungalow,265,111,1,4,1,3,2015,8259335.6,4.46,24778006.8,200.00%
Dalig,Bungalow,399,123,1,4,1,2,2020,5504880.62,5.35,16514641.86,200.00%
Dela Paz (Poblacion),Single-Family Home,160,246,2,3,1,0,2014,5068411.97,5.38,15205235.91,200.00%
Santa Cruz,Bungalow,170,86,1,3,3,2,2014,4501838.86,4.96,13505516.58,200.00%
Dalig,Duplex,385,263,2,4,1,1,2017,5872441.72,4.16,17617325.16,200.00%
Mayamot,Duplex,189,143,1,3,4,0,2018,5532972.29,5.58,16598916.87,200.00%
San Roque (Poblacion),Townhouse,180,279,1,4,2,1,2015,6126864.47,3.45,18380593.41,200.00%
San Isidro (Poblacion),Bungalow,352,119,1,5,1,0,2019,4580300.12,2.92,13740900.36,200.00%
Bagong Nayon,Single-Family Home,246,271,3,6,1,3,2017,2748438.61,4.75,8245315.83,200.00%
Santa Cruz,Duplex,260,120,3,2,3,0,2013,4732925.08,5.56,14198775.24,200.00%
Mayamot,Duplex,274,98,1,4,2,1,2014,7413178.27,5.07,22239534.81,200.00%
San Juan,Bungalow,275,151,1,4,1,2,2022,9155636.6,2.94,27466909.8,200.00%
Calawis,Single-Family Home,351,182,2,3,2,0,2016,9163642.13,4.49,27490926.39,200.00%
San Isidro (Poblacion),Duplex,321,191,2,2,1,3,2019,3154530.94,5.98,9463592.82,200.00%
Muntindilaw,Bungalow,280,89,1,4,3,2,2019,7672947.1,4.24,23018841.3,200.00%
Mayamot,Duplex,323,229,1,2,3,1,2022,6060153.26,5.27,18180459.78,200.00%
Inarawan,Duplex,345,218,3,2,3,2,2018,5756927.32,4.97,17270781.96,200.00%
San Juan,Duplex,238,258,1,6,4,2,2019,5481581.18,5.53,16444743.54,200.00%
San Isidro (Poblacion),Bungalow,316,144,1,3,1,1,2013,4103085.6,3.16,12309256.8,200.00%
San Luis,Bungalow,377,235,1,2,1,0,2022,2053194.96,3.06,6159584.88,200.00%
Calawis,Bungalow,394,193,1,6,2,0,2020,3036739.85,2.84,9110219.55,200.00%
San Roque (Poblacion),Duplex,337,217,2,2,1,0,2017,6074135.24,3.04,18222405.72,200.00%
Mambugan,Single-Family Home,153,84,1,5,1,1,2014,7277547.53,5.92,21832642.59,200.00%
Santa Cruz,Bungalow,155,229,1,3,2,1,2015,3230709.74,5.55,9692129.22,200.00%
Mambugan,Bungalow,331,276,1,5,2,0,2019,8628206.62,5.44,25884619.86,200.00%
San Roque (Poblacion),Single-Family Home,289,147,1,4,2,3,2017,5565072.41,3.68,16695217.23,200.00%
Dalig,Single-Family Home,308,218,3,5,1,2,2014,2167854.7,4,6503564.1,200.00%
San Juan,Townhouse,387,158,1,3,3,2,2022,3193998.11,3.1,9581994.33,200.00%
San Isidro (Poblacion),Townhouse,166,177,2,3,2,1,2013,2401624.42,3.86,7204873.26,200.00%
San Roque (Poblacion),Townhouse,238,244,3,2,4,1,2019,3871663.34,3.65,11614990.02,200.00%
Calawis,Townhouse,358,127,3,3,3,2,2016,2936828.19,5.41,8810484.57,200.00%
Santa Cruz,Single-Family Home,220,88,1,5,1,2,2021,6760415.34,2.36,20281246.02,200.00%
San Jose (Poblacion),Townhouse,214,114,1,6,2,1,2013,3763077.64,3.86,11289232.92,200.00%
San Luis,Bungalow,202,253,1,5,1,2,2017,9245518.71,3.75,27736556.13,200.00%
Bagong Nayon,Duplex,234,226,2,5,3,1,2018,3268552.24,5.57,9805656.72,200.00%
Dalig,Bungalow,368,102,1,2,1,1,2017,9878705.15,5.71,29636115.45,200.00%
San Juan,Single-Family Home,307,181,3,3,3,3,2021,3817535.06,5.07,11452605.18,200.00%
Dalig,Single-Family Home,388,155,1,3,3,2,2017,8275965.92,4.91,24827897.76,200.00%
Beverly Hills,Bungalow,374,262,1,3,2,1,2021,7470100.68,4.46,22410302.04,200.00%
Dela Paz (Poblacion),Duplex,386,185,2,2,3,1,2021,8165035.75,5.7,24495107.25,200.00%
Inarawan,Single-Family Home,201,215,2,3,3,1,2022,2173002.49,2.76,6519007.47,200.00%
Dela Paz (Poblacion),Townhouse,365,113,3,6,1,1,2018,7177602.68,3.19,21532808.04,200.00%
San Luis,Single-Family Home,216,133,3,3,2,1,2020,7291282.74,4.39,21873848.22,200.00%
Calawis,Single-Family Home,308,261,3,6,1,1,2016,9737287.55,5.46,29211862.65,200.00%
San Roque (Poblacion),Townhouse,255,235,1,3,4,3,2021,6925278.94,2.79,20775836.82,200.00%
Mambugan,Bungalow,291,137,1,3,3,2,2016,6647219.95,4.43,19941659.85,200.00%
San Jose (Poblacion),Duplex,167,144,2,5,1,1,2018,2527185.96,4.54,7581557.88,200.00%
Dalig,Single-Family Home,184,104,1,5,2,1,2022,5821796.85,3.91,17465390.55,200.00%
Calawis,Duplex,354,246,2,3,1,3,2015,8330593.09,5.66,24991779.27,200.00%
Calawis,Bungalow,198,117,1,6,1,2,2018,9557764.94,4.61,28673294.82,200.00%
Muntindilaw,Townhouse,209,168,1,3,1,1,2021,8443453.66,2.67,25330360.98,200.00%
San Luis,Bungalow,251,109,1,5,4,3,2014,7441760.99,5.72,22325282.97,200.00%
Dalig,Single-Family Home,222,138,2,4,4,1,2021,6215070.82,3.98,18645212.46,200.00%
Calawis,Single-Family Home,280,244,2,5,3,0,2017,6244331.44,5.33,18732994.32,200.00%
Calawis,Single-Family Home,163,171,2,6,4,2,2020,8472162.81,3.05,25416488.43,200.00%
San Roque (Poblacion),Bungalow,237,152,1,5,2,3,2020,4349023.56,3.64,13047070.68,200.00%
Mambugan,Duplex,198,253,3,5,4,0,2014,2651034.07,2.83,7953102.21,200.00%
Dela Paz (Poblacion),Duplex,215,144,3,4,1,0,2017,6268792.98,4.81,18806378.94,200.00%
Beverly Hills,Duplex,197,218,2,2,3,0,2022,9861486.28,5.07,29584458.84,200.00%
San Roque (Poblacion),Bungalow,265,219,1,3,4,1,2019,8147516.63,4.06,24442549.89,200.00%
Calawis,Duplex,251,247,2,3,3,2,2015,4215093.32,2.81,12645279.96,200.00%
San Jose (Poblacion),Bungalow,373,110,1,2,1,1,2017,2899510.7,5.11,8698532.1,200.00%
Beverly Hills,Townhouse,359,165,1,3,2,1,2016,6510984.95,3.03,19532954.85,200.00%
San Isidro (Poblacion),Bungalow,213,221,1,5,4,1,2021,6789033.75,2.46,20367101.25,200.00%
Santa Cruz,Townhouse,318,234,2,6,3,3,2019,5842289.14,3.9,17526867.42,200.00%
Cupang,Townhouse,209,200,1,3,4,2,2017,4662924.05,4.77,13988772.15,200.00%
San Jose (Poblacion),Bungalow,167,256,1,3,2,0,2019,5266605.94,4.55,15799817.82,200.00%
Dela Paz (Poblacion),Single-Family Home,381,142,1,4,4,2,2013,8396505.16,5.74,25189515.48,200.00%
Calawis,Bungalow,262,119,1,6,3,1,2014,2862115.06,2.61,8586345.18,200.00%
Dalig,Townhouse,331,245,3,5,1,3,2016,6225125.6,2.1,18675376.8,200.00%
